,datadate,conm,tic,prccd
165,2008-03-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.28
166,2008-03-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.13
167,2008-03-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.87
168,2008-03-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.83
169,2008-03-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.9
170,2008-03-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.81
171,2008-03-31,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.08
172,2008-04-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.36
173,2008-04-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.51
174,2008-04-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.63
175,2008-04-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.84
176,2008-04-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.02
177,2008-04-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.62
178,2008-04-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.33
179,2008-04-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.14
180,2008-04-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.55
181,2008-04-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.58
182,2008-04-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.84
183,2008-04-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.38
184,2008-04-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.89
185,2008-04-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.17
186,2008-04-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.53
187,2008-04-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.01
188,2008-04-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.18
189,2008-04-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.95
190,2008-04-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.47
191,2008-04-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.66
192,2008-04-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.22
193,2008-04-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.45
194,2008-05-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.82
195,2008-05-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.94
196,2008-05-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.01
197,2008-05-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.19
198,2008-05-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.44
199,2008-05-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.72
200,2008-05-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.56
201,2008-05-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.0
202,2008-05-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.83
203,2008-05-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.86
204,2008-05-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.56
205,2008-05-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.13
206,2008-05-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.05
207,2008-05-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.61
208,2008-05-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.08
209,2008-05-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.53
210,2008-05-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.9
211,2008-05-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.85
212,2008-05-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.92
213,2008-05-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.77
214,2008-05-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.01
215,2008-06-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.57
216,2008-06-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.41
217,2008-06-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.18
218,2008-06-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.9
219,2008-06-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.58
220,2008-06-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.55
221,2008-06-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.73
222,2008-06-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.12
223,2008-06-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.94
224,2008-06-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.3
225,2008-06-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.52
226,2008-06-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.68
227,2008-06-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.28
228,2008-06-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.16
229,2008-06-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.22
230,2008-06-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.15
231,2008-06-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.04
232,2008-06-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.53
233,2008-06-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.45
234,2008-06-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.66
235,2008-06-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.93
236,2008-07-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.5
237,2008-07-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.78
238,2008-07-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.03
239,2008-07-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.6699
240,2008-07-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.89
241,2008-07-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.52
242,2008-07-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.75
243,2008-07-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.98
244,2008-07-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.91
245,2008-07-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.23
246,2008-07-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.01
247,2008-07-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.6
248,2008-07-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.92
249,2008-07-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.22
250,2008-07-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.21
251,2008-07-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.47
252,2008-07-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.74
253,2008-07-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.74
254,2008-07-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.19
255,2008-07-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.52
256,2008-07-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.98
257,2008-07-31,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.44
258,2008-08-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.9
259,2008-08-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.52
260,2008-08-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.51
261,2008-08-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.53
262,2008-08-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.72
263,2008-08-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.85
264,2008-08-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.88
265,2008-08-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,40.69
266,2008-08-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.95
267,2008-08-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.78
268,2008-08-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.5
269,2008-08-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.29
270,2008-08-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,38.85
271,2008-08-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.05
272,2008-08-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.29
273,2008-08-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.46
274,2008-08-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,38.8099
275,2008-08-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.0
276,2008-08-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.4
277,2008-08-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.86
278,2008-08-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.78
279,2008-09-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,39.18
280,2008-09-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,38.99
281,2008-09-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,37.26
282,2008-09-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,37.2299
283,2008-09-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,37.94
284,2008-09-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,36.86
285,2008-09-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,37.05
286,2008-09-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,36.97
287,2008-09-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,37.73
288,2008-09-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,36.12
289,2008-09-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,35.93
290,2008-09-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,34.68
291,2008-09-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,36.0
292,2008-09-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,38.39
293,2008-09-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,37.8
294,2008-09-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,36.94
295,2008-09-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,36.96
296,2008-09-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,37.7
297,2008-09-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,37.4
298,2008-09-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,33.69
299,2008-09-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,35.17
300,2008-10-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,34.99
301,2008-10-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,33.49
302,2008-10-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,33.4
303,2008-10-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,31.47
304,2008-10-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,30.07
305,2008-10-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,29.28
306,2008-10-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.6
307,2008-10-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.74
308,2008-10-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,30.84
309,2008-10-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,30.1984
310,2008-10-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.87
311,2008-10-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,28.25
312,2008-10-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.803
313,2008-10-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,29.17
314,2008-10-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.945
315,2008-10-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.65
316,2008-10-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.17
317,2008-10-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,24.746
318,2008-10-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,23.63
319,2008-10-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,25.41
320,2008-10-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,26.84
321,2008-10-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.65
322,2008-10-31,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.94
323,2008-11-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,27.93
324,2008-11-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,29.91
325,2008-11-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,28.41
